subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36,hemisphere
16,-0.023098297,0.012612197,-0.04480963,-0.023291697,-0.019646857,-0.043373621,-0.212788195,-0.134200769,-0.171723469,0.031029871,-0.010900919,-0.021899966,-0.16017432,0.024723773,0.011503896,-0.010254117,-0.183272618,0.03733597,-0.033305734,-0.033545814,-0.033953963,-0.00533975,-0.00524305,-0.034050663,-0.216578352,0.003790156,-0.145936647,-0.066851548,-0.148670425,0.014469656,-0.135450548,0.001249778,-0.091312194,0.004564953,-0.070346799,-0.016400442,right
17,0.074675916,0.02730246,0.325528067,0.121467917,0.13724359,0.090192547,0.635257368,0.086283008,0.113634328,0.084151158,0.303442146,-0.140457445,0.076296369,0.070499929,0.140678113,-0.201191403,0.150972285,0.097802389,0.466206179,-0.079723486,0.200101991,0.074385189,0.050989188,0.223497991,0.617178462,0.018078903,0.248774676,0.386482692,0.216974481,-0.130691474,0.146796296,-0.060513291,0.208538237,-0.028153143,0.098892744,0.08149235,right
18,-0.055664252,-0.065260447,0.262835258,0.310956366,0.113216731,0.380609234,1.748870401,1.296003479,0.149928155,0.789560095,0.127442376,0.45550631,0.177760281,0.822190319,-0.003975252,0.300028126,0.122096029,0.756929872,0.258860006,0.610984492,0.103585503,0.122847959,-0.060462349,0.286895812,0.380956034,1.367914371,0.879025902,0.869844497,0.173785027,1.122218447,0.999950598,0.296052875,0.138685266,0.622533203,0.469744126,0.291474342,right
19,-0.005478203,0.014241148,0.004728346,-0.028007975,-0.003629171,0.113794262,0.447918704,0.462435388,0.105417482,0.195206146,0.00576866,0.148784759,0.108156583,0.188085572,0.003404487,0.162788747,0.10267838,0.20232672,0.008132832,0.134780771,-0.000374929,-0.006883414,0.004381473,-0.011639815,0.110811213,0.337107492,0.305005101,0.142913604,0.11156107,0.350874318,0.296242156,0.166193234,0.055593071,0.171995452,0.150311813,0.077276709,right
20,-0.251510578,0.102632048,0.222941772,0.2153261,0.072347336,0.601517328,2.550763981,2.261374636,0.62766968,1.069407994,0.260527415,0.448464215,0.753424972,1.018091973,0.149056529,0.340801164,0.501914393,1.120724021,0.371998302,0.556127265,-0.014284402,0.158979074,-0.074439265,0.219133937,0.873912696,1.676851288,1.622638412,0.92812557,0.9024815,1.358893138,1.771516943,0.489857693,0.444098549,0.758936106,0.848538838,0.354495815,right
21,0.034055882,0.123091332,-0.027853878,0.216456589,0.086437481,0.048671429,0.367560676,0.021810754,-0.077639946,0.611897846,-0.397580859,0.058008673,-0.094667887,0.550352181,-0.383653919,-0.050219622,-0.060612005,0.673443513,-0.411507798,0.166236968,0.003101002,0.169773961,0.078573607,0.094301355,-0.472119803,0.839680476,0.612831505,-0.245270831,-0.478321807,0.500132557,0.455684293,-0.433873541,-0.237610402,0.334953259,0.267128951,-0.169786093,right
22,-0.064834805,0.152200487,0.472521279,0.395286584,0.238793386,0.854620419,3.896068464,2.9408949,0.829537365,1.698951617,0.423553595,0.466439103,0.861954765,1.622851375,0.187292956,0.268795811,0.797119959,1.775051863,0.659814234,0.664082395,0.203843236,0.273743536,0.043682841,0.433903932,1.456934193,2.439134259,2.57217181,1.323896631,1.04924772,1.891647184,2.484806136,0.456088768,0.626545479,1.082695361,1.264244492,0.444996349,right
23,-0.136561977,0.031669914,0.410758963,0.422500916,0.182091954,0.831561757,3.690430942,2.96206314,0.689463268,1.33201039,0.730666443,0.574106937,0.757744255,1.316175435,0.525286961,0.362856482,0.621182279,1.347845349,0.936045925,0.785357397,0.137098494,0.227085415,-0.052446031,0.416629939,1.557228205,2.133202751,1.969027631,1.721403318,1.283031214,1.679031916,2.073919685,0.888143445,0.710064855,0.953058665,1.010736829,0.652386692,right
24,0.033625162,-0.022096458,0.07568545,0.163476119,0.062672568,0.16950564,0.803367694,0.55267742,0.067555872,0.369612658,0.153265605,0.087588424,0.050743291,0.380660886,0.115422881,0.005850364,0.084368453,0.358564428,0.19110833,0.169326484,0.054655306,0.070689831,0.005764352,0.119580785,0.275476784,0.527890912,0.442932882,0.360434816,0.166166171,0.38651125,0.431404176,0.121273244,0.110410739,0.22860054,0.218584264,0.120427015,right
25,-0.009040671,0.281823545,0.32618578,0.15193715,0.187726451,0.076058719,0.679687778,-0.071218026,-0.259339867,0.516697767,0.0301128,0.016764175,-0.254819532,0.375785995,-0.132980089,-0.0592044,-0.263860203,0.65760954,0.193205691,0.09273275,0.158572554,0.216880347,0.136391437,0.239061464,-0.070654514,0.750342291,0.393749337,0.285938441,-0.38779962,0.316581595,0.120966464,-0.192184489,-0.114613533,0.266730972,0.12867895,0.023438488,right
26,-0.192505596,-0.008048321,0.366815527,0.350611074,0.129218171,0.463863343,2.113889718,1.597017035,0.396183328,0.901042855,0.111785467,0.44644172,0.492436125,0.905067023,-0.071622296,0.271136182,0.299930529,0.897018702,0.295193231,0.621747257,0.087154965,0.171281376,-0.100276959,0.358713301,0.59512376,1.518765953,1.196949232,0.916940487,0.420813829,1.176203207,1.397503153,0.199513886,0.253984396,0.673742292,0.648613095,0.279113593,right
27,-0.056987144,0.028521749,0.263603119,0.359827416,0.148741284,0.40083712,1.900831044,1.305865908,0.377439754,0.67657963,0.317467673,0.23186142,0.405933324,0.662318756,0.185666113,0.051947712,0.34894618,0.690840505,0.449269233,0.411775128,0.103307988,0.194174582,-0.014232698,0.311715267,0.798215413,1.102615632,1.039786689,0.861044362,0.591599438,0.714266469,1.068252078,0.237613825,0.347453713,0.454220525,0.52700969,0.274664546,right
