subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36,hemisphere
11,-0.178835853,-0.02323791,-0.122409548,-0.138364254,-0.11571189,-0.38887933,-1.786941105,-1.32409354,-0.808682423,-0.185621272,-0.319496553,-0.241717075,-0.719264494,-0.174002316,-0.258291779,-0.172534948,-0.898100347,-0.197240226,-0.380701327,-0.310899202,-0.150622701,-0.080801082,-0.101036881,-0.130386901,-1.278801669,-0.508139427,-1.095340573,-0.691600531,-0.977556275,-0.346537264,-0.893266809,-0.430826727,-0.564089489,-0.213669174,-0.497151846,-0.280606816,
12,0.306410581,-0.082079965,0.391509148,-0.031124391,0.146178844,0.088194844,0.645137063,0.060421689,-0.051774822,-0.02929944,0.55726253,-0.123408893,-0.204980113,0.011740542,0.361507957,-0.107846697,0.101430467,-0.070339423,0.753017106,-0.138971088,0.348959865,-0.056602178,0.112165308,0.180192379,0.854447573,-0.209310511,0.031091044,0.614046015,0.156527843,-0.096106155,-0.193239572,0.253661259,0.252743855,-0.076354167,-0.040537132,0.216926819,
13,0.004094686,0.178155722,0.568046301,0.148757812,0.224763631,0.295763503,1.63258128,0.733526758,0.068454831,0.146936426,0.658581205,0.309081557,0.066407487,0.057858564,0.374558056,0.23470265,0.070502173,0.236014287,0.942604357,0.383460463,0.286070493,0.163456767,0.091125204,0.358402055,1.013106533,0.61947475,0.306516458,1.326064821,0.440965543,0.292561215,0.124266051,0.609260707,0.363518018,0.228008991,0.107695629,0.483831381,
14,-0.004317418,-0.045702131,0.544327762,0.367107015,0.215353806,0.201104909,1.235127251,0.373712022,0.246187786,0.271043448,0.260634276,0.02655413,0.248346495,0.293894513,-0.011529605,-0.156999378,0.244029076,0.248192382,0.532798156,0.210107637,0.270005173,0.160702442,-0.025009774,0.455717388,0.776827234,0.458300015,0.492221458,0.742905796,0.236816889,0.136895135,0.542241007,-0.168528983,0.253411031,0.148798789,0.258615617,0.143594203,
15,-0.011878022,-0.087701403,-0.581755485,-0.480201069,-0.290383993,-0.430910122,-2.304408472,-1.1428725,-0.285470596,-0.718574139,-0.709031394,-0.010564358,-0.279531585,-0.674723439,-0.41815365,0.229536176,-0.291409607,-0.762424842,-0.999909136,-0.250664891,-0.296816755,-0.283951235,-0.049789712,-0.530978277,-1.29131874,-1.013089738,-1.053834445,-1.250574029,-0.697685235,-0.445187264,-0.954255022,-0.188617474,-0.497250995,-0.364569249,-0.50202237,-0.359797876,
16,-0.222223863,-0.279180314,0.25075965,0.035452732,-0.053797948,-0.720110776,-2.988039006,-2.772847215,-1.117475095,-0.843289775,-0.262334657,-0.657343574,-1.006363167,-0.703699618,-0.387714482,-0.675069941,-1.22858703,-0.982879932,-0.136954832,-0.639617209,0.014267893,-0.121863791,-0.250702088,0.14310619,-1.36554186,-1.622497139,-2.211466966,-0.776572041,-1.394077647,-1.37876956,-1.710062789,-1.062784423,-0.689904879,-0.750316677,-0.980382439,-0.459839115,
17,0.022482119,0.084167281,0.119559878,0.121826246,0.087008881,0.085296376,0.515203266,0.167167741,0.390972445,0.348937661,-0.061966638,-0.336757964,0.379731386,0.306854019,-0.121746577,-0.397671086,0.402213505,0.391021299,-0.002186699,-0.275844841,0.071020999,0.102996763,0.0533247,0.120693062,0.40002681,0.115176459,0.793234805,-0.278031538,0.257984808,-0.090817064,0.686585409,-0.519417662,0.164502904,0.006089848,0.369955053,-0.1993623,
18,0.030677844,0.066585593,0.175123847,0.046732485,0.079779943,-0.157566332,-0.470705442,-0.789825213,-0.319268858,-0.115017565,-0.073078183,-0.122900722,-0.334607778,-0.148310363,-0.160640106,-0.146266964,-0.303929934,-0.08172477,0.01448374,-0.09953448,0.102900845,0.056659039,0.048631719,0.110928166,-0.289446193,-0.181259249,-0.385654704,-0.085050739,-0.495247885,-0.294577327,-0.482918142,-0.306907071,-0.19617352,-0.118959144,-0.217143212,-0.097989453,
19,0.125292345,0.119554418,0.144731351,0.134616393,0.131048627,0.046591766,0.448464317,-0.07573019,-0.098103961,0.397199213,0.066412287,-0.179140477,-0.160750134,0.337422006,-0.005953388,-0.246448674,-0.035457788,0.456976424,0.138777962,-0.111832281,0.135011848,0.127085405,0.122423382,0.139673872,0.103320174,0.345144143,0.421518636,0.026945682,-0.166703523,0.090973332,0.176671873,-0.252402062,-0.015845837,0.109029369,0.149547627,-0.056364095,
20,0.623703441,0.270596264,0.336637966,0.430510468,0.415362036,0.210057233,1.670953004,0.00950486,0.532517414,-0.114224585,0.362302409,0.059633692,0.220665693,-0.249522716,0.193983427,-0.155621543,0.844369135,0.021073549,0.530621394,0.274888926,0.480170705,0.350553367,0.447149853,0.383574217,1.374990526,0.295962473,0.865442686,0.805510318,0.414649121,-0.405144258,-0.028857024,0.038361885,0.447409911,-0.027295447,0.209146414,0.210968051,
21,0.141051449,-0.004082357,-0.08086257,0.248028313,0.076033708,-0.16436442,-0.50539026,-0.809525094,0.099014539,-0.070688553,-0.743918573,0.058134908,0.028488814,-0.068647374,-0.703487286,-0.065879249,0.169540263,-0.072729731,-0.784349856,0.182149064,0.03009444,0.121972978,0.068484546,0.083582871,-0.614809592,0.109419332,0.096810533,-0.602200793,-0.674998473,-0.134526624,-0.04015856,-0.769366535,-0.322452016,-0.006276823,0.014162993,-0.342891833,
22,0.298671399,0.235023456,1.075556048,0.654877613,0.566032127,0.416514348,2.798121649,0.533993129,0.087456555,0.49402726,0.446852212,0.637721367,-0.061879146,0.376515528,-0.090925812,0.310282558,0.236792254,0.611538984,0.984630236,0.965160172,0.687113723,0.444950535,0.266847428,0.865216831,1.2214225,1.57669916,0.848331242,1.949790414,-0.152804958,0.686798082,0.314636383,0.219356746,0.267154383,0.565874311,0.290741906,0.542286786,
23,0.247472982,-0.002994296,0.712888711,0.774793692,0.433040273,0.154405479,1.483702463,-0.248458627,-0.137481663,0.014923408,0.493356188,0.246823983,-0.261218154,0.016420556,0.136911833,-0.140572863,-0.013745172,0.01342626,0.849800544,0.634220829,0.480180848,0.385899697,0.122239343,0.743841201,0.836055374,0.647647091,-0.000318909,1.484021368,-0.124306322,-0.124152308,-0.2447976,-0.00366103,0.177937262,0.130873696,-0.061279128,0.370090086,
24,-0.071501676,0.067090649,-0.214696905,-0.16866919,-0.09694428,-0.020590617,-0.276251027,0.111526091,-0.052087578,0.59345294,-0.274488462,-0.349239369,-0.01633674,0.559907617,-0.16714001,-0.264904775,-0.087838416,0.626998266,-0.381836915,-0.433573965,-0.14309929,-0.05078927,-0.002205513,-0.191683047,-0.469675329,0.193424302,0.539159851,-0.815410882,-0.183476749,0.295002843,0.543570876,-0.432044784,-0.163288021,0.122106785,0.270682683,-0.311863917,
25,0.265364566,0.251778598,0.528741559,0.256545036,0.32560744,-0.234075442,-0.285086892,-1.587516651,-0.136887237,-0.31820062,-0.405474497,-0.075739417,-0.269569519,-0.444089919,-0.669845276,-0.204011934,-0.004204954,-0.192311321,-0.141103717,0.052533102,0.397053063,0.254161817,0.258571581,0.392643296,-0.14530867,-0.139778221,-0.196516274,-0.088570616,-0.939414796,-0.648101852,-0.713659438,-0.873857209,-0.271180866,-0.196970018,-0.227543928,-0.240606956,
26,-0.135595579,-0.122552602,0.555652622,0.444531833,0.185509068,0.423519814,2.065097392,1.323061115,0.500681556,0.088787675,0.41833063,0.686279393,0.568479345,0.150063976,0.14050432,0.464013479,0.432883765,0.027511374,0.696156941,0.908545311,0.210028521,0.160989615,-0.129074091,0.500092227,1.129040706,0.936056685,0.46039514,1.604702265,0.708983665,0.614077456,0.71854332,0.604517798,0.459506094,0.387533533,0.294734614,0.552305012,
27,-0.06792288,-0.041320815,0.117173455,0.11094478,0.029718635,-0.111612028,-0.387010844,-0.505885383,-0.268427284,-0.286381231,0.09331987,0.015040533,-0.234465845,-0.265720824,0.034733142,-0.040431857,-0.302388725,-0.307041638,0.151906598,0.070512923,0.024625287,0.034811982,-0.054621848,0.114059118,-0.150482128,-0.236528716,-0.609430367,0.222419521,-0.199732703,-0.306152681,-0.500186668,-0.005698715,-0.087553708,-0.135670349,-0.277404259,0.054180202,
28,0.102182175,-0.042840859,0.176280172,0.00853934,0.061040207,-0.13400946,-0.413957426,-0.658118255,-0.446695618,-0.510201944,0.42673483,-0.005875111,-0.497786704,-0.488781514,0.338594744,-0.010144781,-0.395604529,-0.531622372,0.514874916,-0.001605441,0.139231173,-0.017150759,0.029670658,0.092409756,0.119270386,-0.533227812,-0.927226903,0.513269476,-0.159191959,-0.498926293,-0.986568219,0.328449964,-0.009980393,-0.258038526,-0.47844878,0.21042986,
29,-0.036671343,-0.061123212,0.059764297,-0.07068165,-0.027177977,0.090931699,0.309370843,0.418082751,-0.15300671,-0.08446691,0.205601022,0.395599394,-0.13467104,-0.053905304,0.175718875,0.430940219,-0.171342382,-0.115028516,0.235483172,0.360258569,0.011546477,-0.065902431,-0.048897277,-0.005458677,0.06414079,0.245230053,-0.286370899,0.595741742,0.041047835,0.377034916,-0.188576345,0.606659095,0.026297156,0.155566242,-0.118736811,0.300600209,
30,0.118204955,0.034334081,0.274976641,0.12159335,0.137277257,0.263292854,1.32772593,0.778616902,0.32290493,0.499608998,0.078504835,0.152152654,0.263802452,0.482441959,-0.058983486,0.091355979,0.382007407,0.51677604,0.215993155,0.212949329,0.196590799,0.077963715,0.076269518,0.198284996,0.598000564,0.72972537,0.898783447,0.428942485,0.204818965,0.573797938,0.746244411,0.032372493,0.200704882,0.325880827,0.411256964,0.115328745,
31,0.019489287,0.056233459,0.161216907,-0.03549337,0.050361571,-0.026526675,-0.005383559,-0.206829843,-0.20035785,0.036479729,0.15648299,-0.098711571,-0.210102493,0.008363,0.075874537,-0.080964886,-0.190613206,0.064596459,0.237091444,-0.116458256,0.090353097,0.010370044,0.037861373,0.062861769,0.046478238,-0.051861799,-0.126016748,0.120633187,-0.134227956,-0.072601885,-0.201739494,-0.005090349,-0.021937429,-0.031115921,-0.08193906,0.028885709,
32,0.249476476,0.144543988,-0.05518485,0.033661165,0.093124195,-0.005460887,0.164404838,-0.208091939,-0.138263289,-0.308381234,-0.090385543,0.515186518,-0.263001528,-0.380653227,-0.062793118,0.498355934,-0.013525051,-0.236109239,-0.117977968,0.5320171,0.097145813,0.089102577,0.197010232,-0.010761843,-0.13150302,0.295907861,-0.249634288,0.414039131,-0.325794645,0.117702708,-0.643654757,0.435562818,-0.114324416,0.103402643,-0.223322262,0.212400488,
